Date,Open,High,Low,Close,Adj Close,Volume
2024-02-20,167.830002,168.710007,165.740005,167.080002,167.080002,41980300
2024-02-21,168.940002,170.229996,167.139999,168.589996,168.589996,44575600
2024-02-22,173.100006,174.800003,171.770004,174.580002,174.580002,55392400
2024-02-23,174.279999,175.750000,173.699997,174.990005,174.990005,59715200
2024-02-26,175.699997,176.369995,174.259995,174.729996,174.729996,44368600
2024-02-27,174.080002,174.619995,172.860001,173.539993,173.539993,31141700
2024-02-28,172.440002,174.050003,172.270004,173.160004,173.160004,28180500
2024-02-29,173.009995,177.220001,172.850006,176.759995,176.759995,53805400
2024-03-01,176.750000,178.729996,176.070007,178.220001,178.220001,31956200
2024-03-04,177.529999,180.139999,177.490005,177.580002,177.580002,37381500
2024-03-05,176.929993,176.929993,173.300003,174.119995,174.119995,37228300
2024-03-06,175.539993,176.460007,173.259995,173.509995,173.509995,32090900
2024-03-07,174.830002,177.990005,173.720001,176.820007,176.820007,34063300
2024-03-08,176.440002,178.789993,174.330002,175.350006,175.350006,37853500
2024-03-11,174.309998,174.470001,171.470001,171.960007,171.960007,28484800
2024-03-12,173.500000,176.759995,171.979996,175.389999,175.389999,36610600
2024-03-13,175.899994,177.619995,175.550003,176.559998,176.559998,30772600
2024-03-14,177.690002,179.529999,176.470001,178.750000,178.750000,43705800
2024-03-15,176.639999,177.929993,173.899994,174.419998,174.419998,72115500
2024-03-18,175.800003,176.690002,174.279999,174.479996,174.479996,31250700
2024-03-19,174.220001,176.089996,173.520004,175.899994,175.899994,26880900
2024-03-20,176.139999,178.529999,174.639999,178.149994,178.149994,29947200
2024-03-21,179.990005,181.419998,178.149994,178.149994,178.149994,32824300
2024-03-22,177.750000,179.259995,176.750000,178.869995,178.869995,27964100
2024-03-25,178.009995,180.990005,177.240005,179.710007,179.710007,29815500
2024-03-26,180.149994,180.449997,177.949997,178.300003,178.300003,29659000
2024-03-27,179.880005,180.000000,177.309998,179.830002,179.830002,33272600
2024-03-28,180.169998,181.699997,179.259995,180.380005,180.380005,38051600
2024-04-01,180.789993,183.000000,179.949997,180.970001,180.970001,29174500
2024-04-02,179.070007,180.789993,178.380005,180.690002,180.690002,32611500
2024-04-03,179.899994,182.869995,179.800003,182.410004,182.410004,31046600
2024-04-04,184.000000,185.100006,180.000000,180.000000,180.000000,41624300
2024-04-05,182.380005,186.270004,181.970001,185.070007,185.070007,42335200
2024-04-08,186.899994,187.289993,184.809998,185.190002,185.190002,39221300
2024-04-09,187.240005,187.339996,184.199997,185.669998,185.669998,36546900
2024-04-10,182.770004,186.270004,182.669998,185.949997,185.949997,35879200
2024-04-11,186.740005,189.770004,185.509995,189.050003,189.050003,40020700
2024-04-12,187.720001,188.380005,185.080002,186.130005,186.130005,38554300
2024-04-15,187.429993,188.690002,183.000000,183.619995,183.619995,48052400
2024-04-16,183.270004,184.830002,182.259995,183.320007,183.320007,32891300
2024-04-17,184.309998,184.570007,179.820007,181.279999,181.279999,31359700
2024-04-18,181.470001,182.389999,178.649994,179.220001,179.220001,30723800
2024-04-19,178.740005,179.000000,173.440002,174.630005,174.630005,55950000
2024-04-22,176.940002,178.869995,174.559998,177.229996,177.229996,37924900
2024-04-23,178.080002,179.929993,175.979996,179.539993,179.539993,37046500
2024-04-24,179.940002,180.320007,176.179993,176.589996,176.589996,34185100
2024-04-25,169.679993,173.919998,166.320007,173.669998,173.669998,49249400
2024-04-26,177.800003,180.820007,176.130005,179.619995,179.619995,43919800
2024-04-29,182.750000,183.529999,179.389999,180.960007,180.960007,54063900
2024-04-30,181.089996,182.990005,174.800003,175.000000,175.000000,94639800
2024-05-01,181.639999,185.149994,176.559998,179.000000,179.000000,94645100
2024-05-02,180.850006,185.100006,179.910004,184.720001,184.720001,54303500
2024-05-03,186.990005,187.869995,185.419998,186.210007,186.210007,39172000
2024-05-06,186.279999,188.750000,184.800003,188.699997,188.699997,34725300
2024-05-07,188.919998,189.940002,187.309998,188.759995,188.759995,34048900
2024-05-08,187.440002,188.429993,186.389999,188.000000,188.000000,26136400
2024-05-09,188.880005,191.699997,187.440002,189.500000,189.500000,43368400
2024-05-10,189.160004,189.889999,186.929993,187.479996,187.479996,34141800
2024-05-13,188.000000,188.309998,185.360001,186.570007,186.570007,24898600
2024-05-14,183.820007,187.720001,183.449997,187.070007,187.070007,38698200
2024-05-15,185.970001,186.720001,182.729996,185.990005,185.990005,75459900
2024-05-16,185.600006,187.309998,183.460007,183.630005,183.630005,38792800
